2019-04-19 15:11:21,209 - WARNING - /usr/local/lib/python3.6/dist-packages/celery/fixups/django.py:265: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
2019-04-19 15:11:21,210 - WARNING - celery@duxin-Aspire-4560 ready.
2019-04-19 15:11:23,682 - INFO - beat: Starting...
2019-04-19 15:11:23,683 - INFO - Writing entries (0)...
2019-04-19 15:11:29,137 - INFO - Writing entries (0)...
2019-04-19 15:12:19,104 - INFO - DatabaseScheduler: Schedule changed.
2019-04-19 15:12:19,105 - INFO - Writing entries (0)...
2019-04-19 15:13:19,111 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:13:19,131 - WARNING - 1 + 2 = 3
2019-04-19 15:13:48,182 - WARNING - Not Found: /favicon.ico
2019-04-19 15:14:19,114 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:14:19,121 - WARNING - 1 + 2 = 3
2019-04-19 15:14:34,109 - INFO - Writing entries (1)...
2019-04-19 15:14:35,781 - INFO - Writing entries (0)...
2019-04-19 15:14:35,782 - INFO - Writing entries (0)...
2019-04-19 15:14:35,783 - INFO - Writing entries (0)...
2019-04-19 15:14:35,783 - INFO - Writing entries (0)...
2019-04-19 15:14:51,248 - WARNING - /usr/local/lib/python3.6/dist-packages/celery/fixups/django.py:265: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
2019-04-19 15:14:51,249 - WARNING - celery@duxin-Aspire-4560 ready.
2019-04-19 15:16:57,026 - WARNING - /usr/local/lib/python3.6/dist-packages/celery/fixups/django.py:265: UserWarning: Using settings.DEBUG leads to a memory leak, never use this setting in production environments!
  warnings.warn('Using settings.DEBUG leads to a memory leak, never '
2019-04-19 15:16:57,027 - WARNING - celery@duxin-Aspire-4560 ready.
2019-04-19 15:17:57,862 - INFO - beat: Starting...
2019-04-19 15:17:57,862 - INFO - Writing entries (0)...
2019-04-19 15:17:58,323 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:17:58,336 - INFO - Writing entries (1)...
2019-04-19 15:17:58,342 - WARNING - 1 + 2 = 3
2019-04-19 15:18:58,326 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:18:58,335 - WARNING - 1 + 2 = 3
2019-04-19 15:19:58,329 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:19:58,336 - WARNING - 1 + 2 = 3
2019-04-19 15:20:58,331 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:20:58,337 - WARNING - 1 + 2 = 3
2019-04-19 15:21:03,329 - INFO - Writing entries (1)...
2019-04-19 15:21:58,333 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:21:58,342 - WARNING - 1 + 2 = 3
2019-04-19 15:22:58,335 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:22:58,342 - WARNING - 1 + 2 = 3
2019-04-19 15:23:58,337 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:23:58,347 - WARNING - 1 + 2 = 3
2019-04-19 15:24:08,336 - INFO - Writing entries (1)...
2019-04-19 15:24:58,339 - INFO - Scheduler: Sending due task add_1 (index.tasks.add)
2019-04-19 15:24:58,346 - WARNING - 1 + 2 = 3
